cutoff,avg_pearson,sd,order
q90/10,0.3306911470857077,0.012055349113705458,1
q80/20,0.3367416872812114,0.012824609700675279,1
q67/33,0.3362848110567951,0.011971968528541203,1
q50/50,0.3338625715772551,0.012425842050972124,1
q90/10,0.3381768569493816,0.01131782391529226,2
q80/20,0.34985032381059694,0.012445522497448734,2
q67/33,0.34876094205205127,0.011873307320794894,2
q50/50,0.34303990023956593,0.011746407338523165,2
q90/10,0.3127467917421131,0.013249230026387714,3
q80/20,0.33915623927884014,0.01451774530163459,3
q67/33,0.34225983309716107,0.012610628267995663,3
q50/50,0.3312394247175631,0.012549844373857413,3
